geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.55018978,-46.63402356,sao paulo,SP
1002,-23.54814573,-46.63497921,sao paulo,SP
1003,-23.54899372,-46.63573131,sao paulo,SP
1004,-23.54979884,-46.63475694,sao paulo,SP
1005,-23.5494562,-46.63673295,sao paulo,SP
1006,-23.55010181,-46.63613674,sao paulo,SP
1007,-23.5500462,-46.63725146,sao paulo,SP
1008,-23.54600175,-46.63588592,sao paulo,SP
1009,-23.54683521,-46.6364907,sao paulo,SP
1010,-23.54638944,-46.63522608,sao paulo,SP
1011,-23.54690864,-46.63558203,sao paulo,SP
1012,-23.54778973,-46.63485901,são paulo,SP
1013,-23.54714203,-46.6342358,sao paulo,SP
1014,-23.54591281,-46.63361537,sao paulo,SP
1015,-23.54766575,-46.63155857,sao paulo,SP
1016,-23.54897641,-46.63235193,sao paulo,SP
1017,-23.54953127,-46.63102385,são paulo,SP
1018,-23.55092852,-46.63243147,sao paulo,SP
1019,-23.55177414,-46.63089338,sao paulo,SP
1020,-23.55233565,-46.63004971,são paulo,SP
1021,-23.54300046,-46.63214323,sao paulo,SP
1022,-23.54492183,-46.63193134,sao paulo,SP
1023,-23.54233078,-46.6313734,sao paulo,SP
1024,-23.54140143,-46.629904,são paulo,SP
1025,-23.54029195,-46.63092806,sao paulo,SP
1026,-23.53965713,-46.63188421,são paulo,SP
1027,-23.53808233,-46.63066868,sao paulo,SP
1028,-23.53593254,-46.63355515,sao paulo,SP
1029,-23.54137305,-46.63341599,sao paulo,SP
1030,-23.53954929,-46.63302325,são paulo,SP
1031,-23.54190585,-46.63508762,sao paulo,SP
1032,-23.54012445,-46.63519354,sao paulo,SP
1033,-23.53927144,-46.63587808,sao paulo,SP
1034,-23.54251532,-46.63736745,sao paulo,SP
1035,-23.54161449,-46.64154914,sao paulo,SP
1036,-23.54164845,-46.64144328,sao paulo,SP
1037,-23.54541102,-46.63892437,sao paulo,SP
1038,-23.54390738,-46.63999381,sao paulo,SP
1039,-23.54137086,-46.63916529,sao paulo,SP
1040,-23.54102818,-46.63832469,sao paulo,SP
1041,-23.54390459,-46.64004649,sao paulo,SP
1042,-23.54485295,-46.64041046,sao paulo,SP
1043,-23.54576599,-46.64150246,são paulo,SP
1044,-23.54559824,-46.64145267,sao paulo,SP
1045,-23.54234537,-46.64252698,sao paulo,SP
1046,-23.54593004,-46.64399752,sao paulo,SP
1047,-23.54618761,-46.64106743,sao paulo,SP
1048,-23.54711319,-46.63983987,são paulo,SP
1049,-23.54701124,-46.6391657,sao paulo,SP
1050,-23.54922916,-46.64303023,sao paulo,SP
1101,-23.52828686,-46.63195754,sao paulo,SP
1102,-23.52557141,-46.63028748,são paulo,SP
1103,-23.53546845,-46.63029077,são paulo,SP
1104,-23.53495217,-46.62957039,sao paulo,SP
1105,-23.53409398,-46.62907768,sao paulo,SP
1106,-23.53022078,-46.62822126,sao paulo,SP
1107,-23.52608789,-46.62958989,sao paulo,SP
